,sites,1,2,3,4,5,6,7,8,9,10,11,12
0,ELPA_SUNN_in,193059664320589.9,197243520978756.38,230278613810545.7,275303210397640.06,317917645071934.8,354982990909081.44,388881674901569.3,421525567880356.25,454419129855855.9,487535775016909.8,520470598324270.6,552529425414235.56
1,ELPA_SUNN_out,647936734.6182679,636506793.8945298,731359019.4392031,862602152.3968683,981376976.753069,1078811180.8389335,1162793557.7723298,1242020130.265939,1319225325.8994288,1395137025.0484586,1469029902.8046324,1540142742.753728
2,ATLA_NASH_in,742574637.092298,727483500.3809278,861396837.0849078,1023192997.2404574,1152937852.0468729,1248070373.197138,1325725820.9247038,1399337372.3678603,1474469306.5770345,1551197689.410697,1628589929.7380912,1706206867.2235923
3,ATLA_NASH_out,684504826.5273466,639975939.9753741,712346058.1145763,818630825.5217391,912392435.6499473,986690755.9124062,1049326486.5920966,1108152923.5350845,1166806878.0832539,1225529718.7504573,1283658269.9745283,1339791809.4345596
4,CHIC_ECHI_in,1543679836.0202618,1489495409.2291822,1759094411.3863037,2158537782.352868,2485908313.2136636,2731548227.9671736,2938812479.80326,3139902025.0584207,3351371023.9035997,3576197555.7942934,3814888781.5234613,4065455394.2721987
5,CHIC_ECHI_out,1377415947.773034,1333358245.1599312,1668206342.4184868,2158736992.806712,2557971018.1801786,2859715883.857556,3113670991.503922,3359661794.95251,3618020811.668114,3893216249.0515013,4184395783.336839,4487475838.64324
6,HOUS_NASH_out,534484193.85290116,531982075.7814932,618042389.0972081,729988006.1032305,830000678.3814329,911910233.471165,983905570.1713318,1053011226.5973196,1121411885.0677314,1188817192.300212,1254918668.5456896,1319127045.7998605
7,ELPA_HOUS_in,670900392.9071109,658605977.42891,757303037.3933569,896649837.4086524,1024813134.4267421,1128556081.850418,1218106872.6632752,1302826882.4282036,1386311311.1862142,1468452079.9698822,1548140572.2548904,1625191587.0497282
8,EASH_ECHI_in,1508828847.5120819,1452985176.5623646,1809884647.289196,2335293418.023281,2765618844.876775,3090674411.126699,3364389136.024991,3629651816.2451234,3908270180.005858,4206411887.8186846,4520991129.643452,4848882844.922901
9,EASH_ECHI_out,1140614581.5121112,1093261409.560426,1282940251.424533,1566604239.9928834,1800778116.4901147,1976433982.0952773,2125151149.0620766,2269654036.371117,2420883162.562452,2582167900.363601,2753064698.313544,2932630512.3215365
10,EASH_WASH_in,1380090245.9349444,1322345635.894074,1550200223.7687218,1891117940.4274452,2173156929.5336423,2385098325.791994,2562734846.7571254,2735336951.265895,2916539212.174589,3110206424.366831,3314872774.369153,3531434832.3216987
11,EASH_WASH_out,1326626073.1581063,1281948392.0534234,1611152240.5812037,2090614339.320986,2478614621.267352,2768863040.73525,3013390156.885312,3250829664.4692206,3499811155.8171277,3766735618.7037387,4048842704.0914464,4342997894.972971
