,sites,1,2,3,4,5,6,7,8,9,10,11,12,SDEV
0,ELPA_SUNN_in,0.012719736,0.012995494,0.015171863,0.018138993,0.020948146,0.023392007,0.025627341,0.027780043,0.029949243,0.032133156,0.03430507,0.036419203,0.00825181
1,ELPA_SUNN_out,12.33899585,11.63226865,13.36245027,16.90486648,20.57934513,23.76360541,26.59870163,29.29056227,31.92655523,34.53285588,37.09475826,39.57947501,9.905073091
2,ATLA_NASH_in,8.506932265,8.383527101,10.04263596,11.99128759,13.6563506,14.95961162,16.0632253,17.10430963,18.14030671,19.17178113,20.18683983,21.17696835,4.464230851
3,ATLA_NASH_out,12.82472605,12.09393207,13.84921542,16.50358542,19.07835558,21.30701273,23.31966467,25.25351004,27.17930152,29.08947811,30.95615874,32.73750712,7.216738073
4,CHIC_ECHI_in,13.49282447,14.23519951,17.34549926,20.74907805,23.3616626,25.22569362,26.70776429,28.07394694,29.45895511,30.8913078,32.37889364,33.91863667,6.922925461
5,CHIC_ECHI_out,8.28365008,8.127211256,9.934385285,12.42699777,14.46088733,15.99537428,17.27568242,18.5020556,19.77349731,21.11529051,22.52856827,23.99537189,5.462903396
6,HOUS_NASH_out,19.35405219,18.78702007,22.45193846,27.48308946,32.26738298,36.36267609,40.03110761,43.55551063,47.02451885,50.42431809,53.72654601,56.89417484,13.39928414
7,ELPA_HOUS_in,14.79702918,13.51676134,16.5724493,20.95872532,25.23119522,28.87127065,32.09467559,35.15247966,38.15655091,41.11429876,44.00246131,46.80219761,11.62927802
8,EASH_ECHI_in,6.47425539,6.151318961,7.517349735,9.612744935,11.3594706,12.68932342,13.81532574,14.91352641,16.07689571,17.33100739,18.66109225,20.05539768,4.748571938
9,EASH_ECHI_out,7.505237126,6.961278189,7.921801011,9.476754202,10.81047313,11.82706339,12.69275545,13.53916965,14.430223,15.39065106,16.41848089,17.51113051,3.569598266
10,EASH_WASH_in,9.575014015,9.085832463,10.4187684,12.2977183,13.87466444,15.05800442,16.03270555,16.96297125,17.92782601,18.95297862,20.03493209,21.18655681,4.118079584
11,EASH_WASH_out,7.186836519,6.95710425,8.485095696,10.68647938,12.47212779,13.80296241,14.92211763,16.01003932,17.15557745,18.39058402,19.70028768,21.07076152,4.826919294
,,,,,,,,,,,,,AVE,6.355987827
