,sites,1,2,3,4,5,6,7,8,9,10,11,12
0,ELPA_SUNN_in,1.3772545258255198e+29,1.3424487638369938e+29,1.7289592567421283e+29,2.2849930969392553e+29,2.8038598701061754e+29,3.2399847449272266e+29,3.63226108160361e+29,4.023215609021642e+29,4.433777854902946e+29,4.867196158069945e+29,5.3183031405552494e+29,5.7802443623166926e+29
1,ELPA_SUNN_out,1.2105811028970703e+18,1.1592793684668321e+18,1.3676853030056044e+18,1.694745632393489e+18,2.0116551170652337e+18,2.2847423872845558e+18,2.5333797199554473e+18,2.7814238407847204e+18,3.0411135727053225e+18,3.314368789088591e+18,3.5977584435097533e+18,3.8863763968117514e+18
2,ATLA_NASH_in,1.709585332859632e+18,1.5847069687973102e+18,2.0497337359683328e+18,2.7493672255536005e+18,3.371913950457764e+18,3.8591775411771274e+18,4.274441866775462e+18,4.680937199731211e+18,5.110088685131853e+18,5.569553390693569e+18,6.056304498662953e+18,6.565126464305319e+18
3,ATLA_NASH_out,1.232056279034081e+18,1.0766671607600106e+18,1.260153862303226e+18,1.5629853973805683e+18,1.8421857783605222e+18,2.0629378149535444e+18,2.2495808915097196e+18,2.430858543703091e+18,2.621560529390887e+18,2.8243418445780137e+18,3.035802117494914e+18,3.251100201967573e+18
4,CHIC_ECHI_in,4.976859083657993e+18,4.817011847931356e+18,6.688492198875626e+18,9.820138936029807e+18,1.2782932100852842e+19,1.5239303798901287e+19,1.744098309472454e+19,1.967233624822674e+19,2.20941416674172e+19,2.4767222416942313e+19,2.7701696427578233e+19,3.088988727809164e+19
5,CHIC_ECHI_out,3.6646815689000233e+18,3.3528621737044823e+18,4.870166607489667e+18,7.55447343387059e+18,1.0194152465856979e+19,1.2443238206226985e+19,1.4494483079496624e+19,1.6601710429925474e+19,1.892307476726482e+19,2.152742278558361e+19,2.44319788978822e+19,2.7630867886915387e+19
6,HOUS_NASH_out,8.854646587959561e+17,8.39799885547048e+17,1.0701789097579404e+18,1.397118656500636e+18,1.6931506908235663e+18,1.9329504344776264e+18,2.1412016023648202e+18,2.343612287657025e+18,2.552616520171954e+18,2.770141563269255e+18,2.993313695462148e+18,3.2184327480883046e+18
7,ELPA_HOUS_in,1.3458945629505024e+18,1.2878197521278218e+18,1.5091972176369748e+18,1.8560931280011123e+18,2.194637885571851e+18,2.488673008605115e+18,2.7581697512234004e+18,3.028346022019136e+18,3.3121740426134385e+18,3.611527083610332e+18,3.9224798948877486e+18,4.2395124217646853e+18
8,EASH_ECHI_in,4.4350997832823905e+18,4.029322450517407e+18,5.806007130472224e+18,8.953386148313036e+18,1.2048650032122399e+19,1.4685566687866886e+19,1.7089169176731498e+19,1.9556600634430013e+19,2.227335677903912e+19,2.5320387375665824e+19,2.8718034195991855e+19,3.2459379961013436e+19
9,EASH_ECHI_out,2.74643446880873e+18,2.634396552605886e+18,3.629202444175784e+18,5.296454350307399e+18,6.872420493325351e+18,8.177005950992696e+18,9.34347620944267e+18,1.05228101112654e+19,1.1800721730503133e+19,1.3209962607037407e+19,1.4756247450677225e+19,1.6435639002433751e+19
10,EASH_WASH_in,3.9911565960752456e+18,3.8022709610204964e+18,5.226107709194686e+18,7.615570832749235e+18,9.8739209942902e+18,1.1742138137984444e+19,1.3411565116552788e+19,1.509925924449494e+19,1.6928247012979167e+19,1.8945064927008514e+19,2.1157185496770392e+19,2.3558223750231798e+19
11,EASH_WASH_out,3.4056860935646326e+18,3.1129472335101957e+18,4.533535523721537e+18,7.051467547747896e+18,9.528281346836632e+18,1.163889146670095e+19,1.356540229039741e+19,1.5546907251756913e+19,1.7731966020250272e+19,2.01848569591026e+19,2.2921276488709345e+19,2.593531802405973e+19
