,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,ELPA_SUNN_in,262436416125286.97,279828550593266.28,308159216442172.7,330034645347405.5,347876093587391.1,364489068449733.6,381133269061223.9,397697539554098.94,415179439467267.6,435053772119223.75,458333592855407.3,485062627616818.4,514685294787524.56,545288823414876.3,575954655053735.2,605708957081307.1,634187081582792.0,659802533974873.6
1,ELPA_SUNN_out,898472999.6136751,949567106.6390368,1034200517.5156587,1108970109.754485,1167352348.592312,1217126759.714951,1260288441.9324908,1300324239.207626,1342302178.423337,1392419350.6513176,1451432931.4730275,1519754503.5687108,1593056326.5013204,1668628577.3553095,1744409775.5395477,1817430136.5172925,1885167874.664241,1944395223.2399557
2,ATLA_NASH_in,1047016721.4926819,1108416472.1366446,1232119040.3928807,1357522673.968586,1452921562.3398454,1523173797.2946594,1573829862.3843362,1611351634.3285213,1640863646.7345996,1667290952.2599921,1694221623.5813482,1723902423.8403442,1755739818.5532312,1791477820.0253224,1833413159.0006788,1878049388.615876,1923135023.3049567,1967893699.9948485
3,ATLA_NASH_out,884980456.1160411,893464585.0745344,934935158.257775,985740263.9332454,1033480445.1360416,1073092983.053215,1104935385.0971677,1131862061.9105856,1158383316.4392326,1188796607.3560104,1226652953.732709,1271010094.7592876,1321690558.648308,1375896309.303918,1431410984.387482,1483944767.6782646,1533010935.309755,1576785603.4647617
4,CHIC_ECHI_in,2245601602.279741,2411258304.8121004,2702073693.689943,3023851001.473888,3273139440.6122293,3457646319.9634047,3598097000.5827384,3707876174.712626,3795033997.2541075,3863279219.2186027,3917418994.9982977,3963076379.806596,4006569856.8999834,4053545352.228167,4109011791.358929,4177218605.6721964,4261062954.8645134,4362827992.782368
5,CHIC_ECHI_out,2110671408.5385725,2370310701.233226,2702999275.752489,3072024924.97434,3373756720.7988186,3607187296.611364,3792546196.174771,3944267287.982578,4069980181.0386987,4175497026.7110987,4267073956.101496,4351665025.47437,4434575038.114588,4521465146.681984,4618146580.706339,4727944235.292089,4853933860.981196,4997682177.890062
6,HOUS_NASH_out,700969940.4420867,709609587.1496828,775206237.6479537,840066268.6850771,892440923.155946,937860725.0665145,978384504.0443411,1016396832.7145591,1056286669.0843705,1100505896.7083933,1150081105.8987565,1205271239.5646574,1266402158.1538436,1330087638.1178699,1394481878.7466578,1456404195.7519617,1514246040.8949091,1566067643.0498962
7,ELPA_HOUS_in,916083900.1927109,966524178.929775,1046583551.3221271,1120162106.4378517,1182075671.079105,1236812509.4104106,1284382002.6090777,1328620414.4991217,1375423630.4527986,1432435899.143907,1498687046.0740542,1572652484.2937207,1652746261.183224,1736558406.832309,1821775710.5435112,1902395662.2022493,1976107570.1973755,2041701309.7793355
8,EASH_ECHI_in,2309330775.8657465,2582450448.9526834,2937280461.261108,3333589699.1396284,3657902735.3508897,3909022964.021769,4109128262.1951146,4272568371.819749,4407530973.505745,4520331253.83967,4618612256.95687,4708785452.5699005,4796854436.440048,4889230893.398527,4991934017.761111,5109377636.850024,5244413041.336617,5398942099.393649
9,EASH_ECHI_out,1655077470.0135782,1765349464.5727353,1966981625.2472894,2196085533.073264,2375590157.2442513,2508024725.5590105,2608839729.470848,2687636977.1837006,2749625606.7669373,2797697625.5111246,2835144397.1970024,2866088201.298816,2895399497.551142,2927330955.2022386,2965538574.8603797,3012954325.000983,3071512178.7712827,3142962665.263858
10,EASH_WASH_in,1985963087.845638,2112356930.9658778,2352323532.0985737,2625384569.0651803,2840212184.5240617,2997918966.3611255,3116973005.950103,3211104044.7605615,3285632453.188145,3344486541.1500382,3391774450.3333435,3432144121.5909534,3470391104.6943684,3511057523.1127105,3558459694.3560123,3616520319.1669593,3687779900.162572,3773644794.8687696
11,EASH_WASH_out,2045349846.9985197,2303197470.1160307,2626925253.0326643,2987522326.463302,3279591559.9423504,3504286937.872408,3681482763.9911027,3826030273.8892326,3946053767.047188,4046936173.1898913,4134919287.332452,4215730543.2849407,4295100898.19684,4378574062.030292,4471499219.103612,4577842232.924446,4700048673.207623,4839083398.618894
