,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,ELPA_SUNN_in,2.3752941858681043e+29,2.3813331640282716e+29,2.809017543605048e+29,3.343845263989325e+29,3.8287247758754906e+29,4.2235362397561525e+29,4.535315071773882e+29,4.7857240453108746e+29,4.999635200657101e+29,5.2024567102997066e+29,5.417892265875209e+29,5.663916111853603e+29,5.9496559617514714e+29,6.2746132063756494e+29,6.63032663800416e+29,7.003333932906781e+29,7.378499632518935e+29,7.741838147375285e+29
1,ELPA_SUNN_out,1.9786238099406612e+18,2.0696146013183176e+18,2.3891222595473843e+18,2.738692803707823e+18,3.026337542325661e+18,3.2494664315301217e+18,3.422917409285993e+18,3.562436347352389e+18,3.6847438531705257e+18,3.808566703540247e+18,3.952359719692317e+18,4.1300947521199565e+18,4.3478578873494364e+18,4.6028491700562063e+18,4.884803801820061e+18,5.178925674135348e+18,5.469235175297038e+18,5.741462791395799e+18
2,ATLA_NASH_in,2.991937126025308e+18,3.026366452074792e+18,3.633906605901268e+18,4.4045215691115715e+18,5.067923761154731e+18,5.572335308267719e+18,5.946739034844862e+18,6.229257129402322e+18,6.448669712660611e+18,6.626817358875959e+18,6.782706288153337e+18,6.93331375502833e+18,7.09235473651e+18,7.26911958991829e+18,7.468396252732824e+18,7.691452104958765e+18,7.937544281181868e+18,8.205390088930573e+18
3,ATLA_NASH_out,1.9412713079542467e+18,1.8510890244057313e+18,2.0092549344920256e+18,2.2522504976533053e+18,2.4816478379769533e+18,2.6653290366918036e+18,2.802018242117359e+18,2.9025302589669704e+18,2.981747032477638e+18,3.0559041547387955e+18,3.1401875288014264e+18,3.245905028253053e+18,3.3784910545998336e+18,3.537173584709755e+18,3.7161677298060867e+18,3.9067234068126587e+18,4.0993082752330967e+18,4.2854099644156723e+18
4,CHIC_ECHI_in,9.329118335079209e+18,1.0323774270126653e+19,1.2845493349261779e+19,1.6114924157029208e+19,1.9045692265732616e+19,2.1430307819528827e+19,2.3381431371260396e+19,2.5023351781007987e+19,2.6425762469642453e+19,2.7627555587817378e+19,2.866620117424954e+19,2.9590629093649342e+19,3.0460618752487875e+19,3.1340467325138625e+19,3.2292422281038635e+19,3.3372150815777575e+19,3.4626417355994157e+19,3.6092292750996402e+19
5,CHIC_ECHI_out,7.710104927122522e+18,8.840956047865301e+18,1.09738989288929e+19,1.3812687604234203e+19,1.6465774652123728e+19,1.872319480723015e+19,2.063249356928174e+19,2.2270789158139576e+19,2.369052185167389e+19,2.4931027172429062e+19,2.6035625628508086e+19,2.7057824287028818e+19,2.80586173996573e+19,2.9100428613944726e+19,3.0241541740862145e+19,3.1532497145603383e+19,3.3014378315622568e+19,3.471837027268293e+19
6,HOUS_NASH_out,1.4816379293263273e+18,1.4320091817443832e+18,1.661677485234302e+18,1.9703071862051356e+18,2.253743570597964e+18,2.482366702032262e+18,2.6598104484882063e+18,2.7997962531141335e+18,2.917114832055928e+18,3.025573312330136e+18,3.137104458374868e+18,3.2604785411379594e+18,3.4002265333986043e+18,3.556448307401684e+18,3.7255830106737285e+18,3.9017901594522685e+18,4.0784773046443924e+18,4.2496129846344305e+18
7,ELPA_HOUS_in,2.1540306861799137e+18,2.2298725412484652e+18,2.5450147184232535e+18,2.8976349119426524e+18,3.195271791241993e+18,3.431192030356232e+18,3.6175417006027044e+18,3.769877774580168e+18,3.906232105271903e+18,4.047120795719037e+18,4.2125222631296297e+18,4.4171975350102845e+18,4.667107416328042e+18,4.958486680149773e+18,5.279499827195586e+18,5.613470725441947e+18,5.94250706694392e+18,6.250615130298083e+18
8,EASH_ECHI_in,9.297743462432692e+18,1.0587189310734565e+19,1.3078178454837674e+19,1.6408635802163544e+19,1.952648446577483e+19,2.2181245922572263e+19,2.4425130728462483e+19,2.634649003840267e+19,2.800625870102127e+19,2.945108556197386e+19,3.073284115701572e+19,3.1915439230331523e+19,3.307138460320013e+19,3.4274559702661173e+19,3.5593710240094487e+19,3.7088279263759925e+19,3.880649498871632e+19,4.078492055931947e+19
9,EASH_ECHI_out,5.125396837790745e+18,5.623899792548486e+18,6.944709405391835e+18,8.671773887182206e+18,1.022692353957047e+19,1.149634943697195e+19,1.2535578790366165e+19,1.340776936374807e+19,1.4148903741585605e+19,1.4779935295987626e+19,1.5321706088397216e+19,1.5801219268180527e+19,1.6250989591820208e+19,1.6705551435085986e+19,1.7198010869042285e+19,1.7757739516132948e+19,1.840926886955212e+19,1.9171963324632183e+19
10,EASH_WASH_in,7.378109381404493e+18,8.037039892153831e+18,9.900181781827467e+18,1.2350472532096854e+19,1.455960706323066e+19,1.636142584388791e+19,1.7834490679225604e+19,1.907026572738516e+19,2.012156924173158e+19,2.1018985282828677e+19,2.1792073578539033e+19,2.247863852398711e+19,2.3124146315367887e+19,2.377700955675709e+19,2.4483785045855228e+19,2.5285901343395607e+19,2.6218048947626103e+19,2.73076483228542e+19
11,EASH_WASH_out,7.220628455281304e+18,8.294311589487557e+18,1.0305875248388356e+19,1.2980294080223365e+19,1.5478566164070732e+19,1.7603913616945467e+19,1.940183063019828e+19,2.0945262930471703e+19,2.228360563564255e+19,2.3453749081178997e+19,2.4496269690871173e+19,2.546133657856406e+19,2.640618173979972e+19,2.7389411267824464e+19,2.8465782908010377e+19,2.9682821879463596e+19,3.1079223691086733e+19,3.2684441888340943e+19
