,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,SDEV
0,ELPA_SUNN_in,0.914094401,0.913875993,0.898408232,0.879065493,0.861529195,0.847250326,0.83597444,0.826918074,0.819181699,0.811846396,0.804054889,0.795157117,0.784822964,0.773070464,0.760205625,0.746715332,0.733146977,0.720006368,0.059839537
1,ELPA_SUNN_out,0.852479612,0.845695605,0.821874051,0.795811097,0.774365149,0.757729313,0.744797317,0.734395194,0.725276305,0.716044436,0.705323651,0.692072248,0.675836467,0.656825065,0.635803355,0.613874491,0.592229866,0.571933373,0.083360305
2,ATLA_NASH_in,0.906975753,0.905905289,0.887015866,0.863056179,0.842429914,0.826746929,0.815106102,0.806322149,0.799500251,0.793961348,0.789114505,0.784431871,0.779487025,0.773991115,0.767795276,0.760860102,0.753208692,0.744880925,0.050899603
3,ATLA_NASH_out,0.808823762,0.817704906,0.80212874,0.778198557,0.755607526,0.737518616,0.724057475,0.71415906,0.706357798,0.699054811,0.690754591,0.680343541,0.66728648,0.651659437,0.634032109,0.615266201,0.596300459,0.57797318,0.072125448
4,CHIC_ECHI_in,0.901034642,0.890483111,0.863732156,0.829049308,0.79795907,0.772662539,0.751964587,0.734546731,0.719669647,0.706920759,0.695902576,0.68609604,0.676866996,0.667533367,0.657434818,0.645980818,0.63267528,0.617124949,0.088780391
5,CHIC_ECHI_out,0.802176919,0.773161951,0.718435675,0.645599063,0.577527116,0.519607047,0.47061895,0.428584155,0.392157168,0.360328732,0.331987344,0.305760141,0.280082154,0.253351739,0.224073472,0.190950605,0.152929035,0.109208626,0.214110143
6,HOUS_NASH_out,0.892451511,0.896053941,0.879382878,0.856980199,0.836406242,0.819811046,0.806930836,0.796769608,0.788253738,0.780381001,0.772285227,0.763329802,0.753185836,0.741846078,0.729569001,0.716778554,0.703953264,0.691530942,0.063477849
7,ELPA_HOUS_in,0.844646799,0.839176926,0.816448212,0.791016506,0.769550311,0.75253525,0.739095322,0.728108525,0.718274365,0.708113178,0.696184078,0.681422469,0.663398446,0.642383563,0.619231423,0.595144743,0.571413954,0.549192555,0.088581744
8,EASH_ECHI_in,0.803226741,0.775937489,0.723219316,0.652735015,0.586750269,0.530566092,0.483077523,0.442414739,0.407288142,0.376710477,0.349583978,0.324556004,0.300092097,0.27462864,0.246710732,0.215080346,0.178716801,0.136846292,0.206195486
9,EASH_ECHI_out,0.901626678,0.892058757,0.866708051,0.83355997,0.803711503,0.77934702,0.759400771,0.742660548,0.728435728,0.716324144,0.705925771,0.696722326,0.688089746,0.6793652,0.669913274,0.65917023,0.646665226,0.632026596,0.084570926
10,EASH_WASH_in,0.896367428,0.887112121,0.860942519,0.826525852,0.795496454,0.770188194,0.749497595,0.732139958,0.717373399,0.704768336,0.693909575,0.684266116,0.675199345,0.666029259,0.656101924,0.644835437,0.631742536,0.616438075,0.087917559
11,EASH_WASH_out,0.792795596,0.761984999,0.704260821,0.627515235,0.555824387,0.494835049,0.443241711,0.398951111,0.360545797,0.326967158,0.297050806,0.26935708,0.24224364,0.214028715,0.183140968,0.148216607,0.108145219,0.0620816,0.225727911
,,,,,,,,,,,,,,,,,,,AVE,0.110465575
