,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,ELPA_SUNN_in,487369899139052.75,487989053568650.44,530001655054495.8,578259912495179.4,618766900850028.5,649887393304113.2,673447479152894.4,691789277548508.6,707080985507113.0,721280577188912.4,736063330554865.2,752589935612588.6,771340130017327.1,792124561314421.6,814268176831451.5,836859243415927.2,858981934182491.1,879877158890676.4
1,ELPA_SUNN_out,1406635635.1026592,1438615515.4586363,1545678575.7547991,1654899635.539214,1739637186.9805672,1802627646.3901584,1850112809.8810604,1887441746.744092,1919568663.3122885,1951554945.0477297,1988054254.7154787,2032263455.3915386,2085151766.023144,2145425172.3274355,2210159225.4450946,2275725307.2669706,2338639599.27498,2396134969.361242
2,ATLA_NASH_in,1729721690.337873,1739645496.092463,1906280830.8067486,2098695206.3393035,2251204957.607088,2360579443.3290567,2438593659.231661,2495847978.023165,2539423106.270519,2574260546.035688,2604362933.262823,2633118636.717368,2663147524.3609767,2696130484.586807,2732836667.7744985,2773346733.63407,2817364776.024196,2864505208.396482
3,ATLA_NASH_out,1393295125.9350069,1360547325.3090947,1417481899.17615,1500749978.3952374,1575324677.0037448,1632583546.6192238,1673923009.6146474,1703681384.2285683,1726773590.3926833,1748114456.990387,1772057428.1894553,1801639538.9347596,1838067206.2250154,1880737510.8477404,1927736426.4354415,1976543297.4798853,2024674856.6703486,2070123176.145727
4,CHIC_ECHI_in,3054360544.3822784,3213063066.627646,3584061013.607578,4014339815.8388643,4364137058.541198,4629288046.722609,4835434972.291572,5002334633.049651,5140599427.074867,5256192118.617562,5354082664.121796,5439726931.901026,5519113946.32217,5598255739.526252,5682642191.889142,5776863406.363143,5884421582.109338,6007686139.521305
5,CHIC_ECHI_out,2776707569.6087484,2973374521.9641104,3312687568.862011,3716542425.9968033,4057804166.310115,4327030714.847094,4542300471.047874,4719193697.8831005,4867291017.770963,4993097953.418204,5102511698.027559,5201713591.407049,5297038549.950085,5394481310.927375,5499231013.592914,5615380409.696513,5745813981.989199,5892229652.065755
6,HOUS_NASH_out,1217225504.714031,1196665860.5243082,1289060698.816895,1403676311.0507834,1501247338.2484193,1575552824.2595556,1630892531.25036,1673259170.9338198,1707956332.0108416,1739417520.9909024,1771187301.8895738,1805679523.375607,1843970317.92776,1885854794.8879,1930176937.659791,1975294955.0515914,2019524029.2317376,2061458945.6582515
7,ELPA_HOUS_in,1467661638.8595545,1493275775.3504424,1595310226.3896053,1702244081.1889029,1787532318.936358,1852347707.736383,1901983622.5905585,1941617308.9927294,1976419010.5521407,2011745708.5126433,2052442998.7528594,2101713000.1525624,2160348910.7845616,2226765968.8772354,2297716219.9008794,2369276413.89559,2437725798.14546,2500123023.0326834
8,EASH_ECHI_in,3049220140.04117,3253796138.471887,3616376426.042742,4050757435.6117086,4418878190.873202,4709697009.635786,4942178743.070963,5132883209.113828,5292093980.74347,5426885438.442003,5543720876.542732,5649375118.571215,5750772522.296473,5854447856.344881,5966046449.7097645,6090014717.860699,6229485932.941524,6386307270.975885
9,EASH_ECHI_out,2263933929.64343,2371476289.6871824,2635281655.799212,2944787579.2970543,3197956150.3514194,3390626702.6866803,3540561931.440568,3661662103.9833903,3761502856.7828584,3844468142.147575,3914295094.700605,3975074750.0116935,4031251616.039392,4087242522.176288,4147048452.700099,4213993298.0645504,4290602390.055751,4378580058.036187
10,EASH_WASH_in,2716267545.9910965,2834967352.9255733,3146455431.4065003,3514323908.2499003,3815705316.613255,4044925937.997865,4223090181.280244,4366951537.100585,4485707217.566877,4584646691.167017,4668198108.321778,4741164258.279511,4808757252.697196,4876167507.044553,4948109239.482818,5028508858.836346,5120356330.142083,5225672045.091827
11,EASH_WASH_out,2687122709.382901,2879984650.911799,3210276506.5315413,3602817519.6952963,3934280895.4205003,4195701802.672047,4404750915.795157,4576599494.217481,4720551412.244394,4842907089.876802,4949370635.835547,5045922767.7962,5138694555.993742,5233489396.934369,5335333439.252918,5448194368.730212,5574874320.65394,5717030862.986568
