,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,289195742994958.5,264655717537031.06,285466668709301.6,323759002494263.3,359492314844027.94,386461671599459.6,407814275039286.44,425635253023611.94,440873123631909.94,454005294370886.4,465450162909157.5,475392862305311.56,484498895988845.94,493105230864936.6,501456700741852.25,509676371902198.75,517821837251425.44,525840241561134.8,533775061585954.1,541964907073962.75,550206273439416.0,558525404355868.1,566868223662809.0,575210388767757.8
1,ELPA_SUNN_out,970606564.192801,891557835.386743,957622742.4146823,1081647111.8535233,1202331189.6791756,1301030394.946986,1377603198.1412144,1437845826.5053694,1487114221.3395095,1529738685.5957923,1567133738.790492,1600541942.2227504,1630402363.1044958,1657887917.6414313,1683535297.9506757,1708422638.6646376,1732405042.8769646,1755470816.9394143,1777972178.3698058,1800381383.9688334,1823088030.8976998,1845937176.969177,1868969554.060995,1892116974.9130187
2,ATLA_NASH_in,1146295478.9831915,1038249328.6732255,1088585867.7246928,1200737185.4108903,1303463611.3393533,1381207072.5526161,1438188135.6752522,1481901822.9765818,1517637748.8599734,1548220431.4367223,1574930453.706056,1598644147.0946584,1620127702.3158152,1640235364.21072,1659126915.335226,1677575756.88131,1696228330.1393673,1714705270.7732382,1733352535.7327752,1752452586.074484,1772076767.1935413,1792317326.7264621,1812697545.8853981,1832962513.6832886
3,ATLA_NASH_out,976318518.5144273,881977829.0100771,890114471.7567651,950874522.3550602,1020467647.5025084,1081422021.5122247,1134258691.803565,1179215165.3707972,1216316780.3748431,1247136417.9167023,1273186462.9796877,1295733999.4157157,1316018152.2499027,1335216477.3609052,1353491942.779786,1370719317.1618404,1387888233.4374952,1405276431.8979738,1422651651.7893152,1439949340.2309709,1457378361.2876794,1474982782.870322,1492480058.2428582,1510319115.142073
4,CHIC_ECHI_in,2349996284.6255255,2135356428.1918008,2174189156.38183,2333529139.151553,2473567783.829009,2575966288.6677914,2656518121.63855,2725044378.889212,2786680215.9285636,2843300201.292924,2894857381.499979,2942031770.5509715,2984480476.223225,3023585907.1615586,3060591478.6911807,3097191005.840596,3133954613.0527096,3171324705.401489,3210052634.5212235,3249428772.507426,3289456831.4793515,3330082561.4616685,3370932210.3083825,3411962854.4317474
5,CHIC_ECHI_out,2035892614.58893,1860159457.9445496,1938890524.7543402,2141594462.3534322,2306613492.537194,2416177006.108274,2491990207.797047,2556677050.766139,2620906367.774196,2686656070.2156954,2753296300.8098083,2820927678.5338182,2888683283.7133846,2956543526.489588,3024813029.443775,3093994911.3421597,3164761359.934227,3236851497.842867,3309256051.8291125,3381560796.7793093,3453427234.2800894,3523754419.8215957,3592912392.251305,3661402790.008429
6,HOUS_NASH_out,773353233.6462076,716919964.354165,767093475.1379443,858369147.7605276,940504654.390182,1001633621.5690062,1047711359.7298241,1083989365.3554084,1114647628.840779,1141209004.6030138,1164649241.8744428,1185838429.4306798,1205649574.6056986,1224302957.5119233,1242257610.687736,1259503849.327307,1276056317.568554,1292117179.4979072,1308603626.7822978,1325175461.720188,1341737986.0839117,1358308002.4275122,1374904362.0416772,1391612779.75004
7,ELPA_HOUS_in,995190875.8419755,918384078.3401451,988875186.8979083,1116298724.101894,1238718552.5072773,1337469165.2071695,1415687119.3294888,1478399588.7480564,1530468415.9084556,1575069600.1181738,1614744782.1353536,1649987173.3458695,1681566034.6778798,1710205483.8521805,1736655363.4351144,1761991252.9759736,1786364613.8048406,1810382976.0781534,1833899745.5258029,1857341693.6208253,1880482656.7825346,1903571472.3385155,1927161761.0029435,1950711140.42304
8,EASH_ECHI_in,2226443382.1555142,2031192247.498336,2112105909.3310409,2326798668.485158,2504500166.9733863,2622112994.8651114,2703077918.9312396,2773213145.223329,2843194721.227011,2913673082.3893414,2985088246.56818,3056790790.9042106,3128642302.5028667,3200756760.351596,3273316387.0050025,3346621790.4559984,3420843731.8540726,3497058323.7859745,3574454939.701682,3651456708.015542,3727807164.351441,3802863686.8505216,3876895491.523341,3949540857.201554
9,EASH_ECHI_out,1732995588.6313486,1569465989.852094,1590152332.9169993,1700510761.4325595,1802850157.9858181,1877536384.0995,1937286771.412061,1988192918.559972,2032768966.0954568,2073031637.4760568,2109534971.084633,2142340676.3169837,2171734614.874589,2198936207.6721773,2224750296.636016,2250216468.6028595,2275741457.921145,2301476596.3391237,2327906009.9278927,2355527799.409371,2383620894.326939,2411965161.5782623,2440695952.816708,2469529574.8225846
10,EASH_WASH_in,2085365603.9433553,1888400349.8290288,1910207653.6323025,2043008736.979841,2165701715.2790437,2254830247.894374,2324608187.9254036,2384411605.852625,2438578025.0760875,2487792676.295524,2532127801.511982,2571962005.329142,2608222783.2266965,2641338066.6225047,2672999425.3883166,2704053803.3134794,2734616784.809938,2765615545.3686624,2797762759.0255704,2830550099.1013207,2863977509.9716163,2898046393.176574,2932026655.583937,2966304443.429963
11,EASH_WASH_out,1968420751.55996,1797517622.4292576,1873860126.6288135,2074348254.0190904,2235630476.7363753,2339985426.444995,2412315968.554403,2475259916.777002,2537515750.4055657,2601667417.937859,2667381265.2840476,2733042890.0852175,2799014999.595859,2865981500.6038027,2933597885.8044105,3001146175.221369,3069322243.782608,3138408953.5947466,3208285576.7018466,3277924566.95185,3346856099.12978,3414642997.4986076,3481492160.3763413,3547501551.2713513
