,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,527985610153567.44,480811231603992.2,502961712337606.0,553098892718775.56,603747186253379.8,645855483057164.8,679226941853242.0,705533356121503.2,726185748036594.6,742308944079115.1,754954697707172.5,765112675633185.1,773634305606000.8,781222637283110.2,788401168930567.6,795552408274440.6,802934309190935.2,810692030995428.6,818906274715024.9,827579491662455.2,836679566855105.1,846152502623826.9,855921278819389.8,865900845406566.6
1,ELPA_SUNN_out,1491270157.1342463,1375020205.0676568,1421373582.8508472,1539430662.235683,1666942294.275887,1778626666.856539,1870616860.3421009,1945366546.0099258,2005993087.726255,2055485064.4871142,2096673497.012299,2132041984.0924463,2163554031.9653883,2192632999.1891975,2220260964.717077,2247108167.2020826,2273637022.1179175,2300164878.1768184,2326897756.9356017,2353950040.4483786,2381361642.2484603,2409115350.112841,2437153547.323493,2465391921.1727934
2,ATLA_NASH_in,1890390182.3938112,1705329593.9362836,1741581265.4506037,1875679958.6186724,2012715710.6094568,2124854918.2571144,2212134813.040617,2280383981.3700523,2334439380.8837457,2377620535.8969417,2412392102.772607,2440804913.175556,2464649349.2204847,2485474615.49593,2504574571.8297033,2522974872.9704137,2541435379.2449865,2560464975.7510204,2580350896.0437813,2601200801.3045797,2622988506.179297,2645601232.227937,2668880600.934743,2692654407.1001334
3,ATLA_NASH_out,1517930711.9773355,1372302958.1661105,1363161653.8647099,1420275786.057463,1495359465.4197073,1567076458.0372865,1629952163.1308413,1683578654.5394363,1728548562.3349094,1765945155.7443986,1797274480.8003438,1824178862.9710948,1848139389.1903913,1870323404.829723,1891567806.5477364,1912432009.532249,1933265140.2873259,1954263729.7955036,1975515458.3194559,1997034057.8440733,2018787437.8793662,2040721735.38084,2062778715.2554061,2084906969.4326756
4,CHIC_ECHI_in,3266266661.6158724,2991919587.218512,3068744595.3943357,3319434216.739935,3543131423.284533,3707346831.0845714,3834126922.8356233,3943762800.2637143,4045288636.3024054,4140756309.447039,4229677705.2319803,4311368802.998879,4385776882.095613,4453540467.628478,4515755008.292829,4573692461.988508,4628580694.372312,4681470195.179098,4733181261.541915,4784309077.446672,4835260575.927123,4886303184.175048,4937610787.8762865,4989300047.72329
5,CHIC_ECHI_out,2779538908.405428,2546372007.3436522,2637715089.697738,2886571434.306848,3097946722.455279,3244876982.28162,3352499360.790957,3443760087.321397,3530028269.0689316,3615028801.9661336,3699218702.1183457,3782222577.177507,3863795559.3025684,3944019814.6962714,4023196204.1932406,4101673755.027275,4179719982.0580907,4257462594.9657555,4334892051.536806,4411901512.524283,4488341998.704733,4564073988.301329,4639003156.35398,4713099477.785581
6,HOUS_NASH_out,1317016820.711444,1204236364.6698825,1252442716.3343797,1364831728.809032,1477891209.6148973,1570141497.7837584,1641060888.9546285,1695133520.4890382,1736412489.09014,1767986167.4832513,1792349625.1280801,1811592789.0549555,1827428937.417196,1841206026.0675411,1853945123.056404,1866394663.0105639,1879081886.4167807,1892353542.7338688,1906408250.3840983,1921325102.0945296,1937091257.017867,1953628026.3581555,1970814737.237551,1988507747.8549662
7,ELPA_HOUS_in,1557007861.3972642,1440623423.3331895,1488448354.3467443,1607898646.880555,1736796291.729368,1849671739.0248852,1942721935.2446518,2018412307.205495,2079816345.9577801,2129914016.002503,2171574991.9345393,2207332257.6060877,2239179194.347952,2268544552.933298,2296401105.1795297,2323408297.658177,2350025156.3023124,2376576146.2241473,2403282892.5305214,2430280345.939096,2457629835.0308647,2485332881.4462256,2513345379.0355663,2541590690.721838
8,EASH_ECHI_in,3053591492.637013,2793786158.8778715,2888253986.149589,3153925613.335343,3381303283.4760284,3540345124.8835683,3657163219.3018284,3755977697.8511567,3848889514.852528,3939946729.267421,4029747757.749251,4118006857.712897,4204566286.4067607,4289600135.0905595,4373497614.403818,4456680665.707668,4539468689.74321,4622017410.286751,4704323825.14499,4786273365.176856,4867699746.458597,4948443136.39212,5028391042.603713,5107499452.069856
9,EASH_ECHI_out,2420730203.9044714,2212584451.75904,2263614886.918236,2443115190.6673913,2605708278.8329954,2726369456.643602,2819906877.171052,2900492301.8510118,2974571253.4433036,3043738357.2828813,3107808858.1662345,3166441315.6602416,3219709853.532465,3268144836.155448,3312571820.396925,3353920410.8269334,3393073586.7830358,3430779363.1227307,3467618226.640819,3504008025.1749926,3540232840.0591464,3576478510.879307,3612865891.26661,3649476708.5642943
10,EASH_WASH_in,2913445060.7782903,2660356239.6888127,2716753679.8535237,2927223153.896502,3118768438.72311,3260659101.755871,3370085355.985903,3463935156.7636547,3550037176.891433,3630419907.8395834,3704933159.7070947,3773190333.94858,3835268933.113802,3891775954.9537315,3943663389.491313,3992006195.8848124,4037826597.4719954,4081989122.4643703,4125163336.69396,4167829741.5630083,4210314244.8785896,4252828967.3873663,4295512399.649694,4338458666.038563
11,EASH_WASH_out,2685610284.0610995,2458002720.724017,2545554671.51746,2787029160.688371,2991967382.9620066,3134496922.953119,3239293583.795891,3328637089.768822,3413448217.252973,3497203948.7401257,3580220453.03048,3662028169.617177,3742310942.9016986,3821097792.8281746,3898656508.3388386,3975323276.6583138,4051372035.2289166,4126951896.200663,4202084312.8345366,4276698362.9379725,4350681656.260612,4423927456.1270075,4496369970.133923,4568002058.8741665
