,sites,1,2,3,4,5,6
0,ELPA_SUNN_in,188742258621098.2,263974985202453.7,359974430269104.25,496840551281445.8,637179424923616.1,752438798690151.4
1,ELPA_SUNN_out,637533232.426523,864325529.8623971,1172897816.688741,1590425643.4088304,2009136143.7389827,2353776529.556925
2,ATLA_NASH_in,669177957.6853741,840327391.076552,1081474329.1744547,1378716357.2210383,1661998239.1020916,1885362524.2362943
3,ATLA_NASH_out,642700876.5955026,750544666.1999718,936291158.0647784,1205627026.9942915,1484625969.265855,1715713684.473553
4,CHIC_ECHI_in,1015749053.1360205,1078348803.9837737,1287892735.4365282,1516084682.0471547,1709159132.1494884,1848984247.479705
5,CHIC_ECHI_out,884659234.0040876,914991198.6667489,1057172888.045989,1238116239.73554,1390223146.7584229,1491667468.4459548
6,HOUS_NASH_out,507187169.3807825,657102178.9344453,858137406.4832426,1140937768.0289586,1426832337.088152,1661540461.848214
7,ELPA_HOUS_in,660657769.560313,887996185.5026426,1201978519.670855,1636262372.4288101,2078004687.6731045,2441850958.2569237
8,EASH_ECHI_in,973733357.1763906,1003661838.0832008,1158773802.2144456,1355639513.7289896,1522188640.4888518,1633816746.6716926
9,EASH_ECHI_out,750289042.148757,789202547.2230405,940188716.463698,1106904953.3581612,1250257996.2558815,1355336837.621247
10,EASH_WASH_in,915952883.4990416,959293183.321601,1134687986.2273269,1329283343.8026326,1495642277.7465096,1616230366.1432068
11,EASH_WASH_out,856972729.0599513,887942032.5136582,1029923257.1220168,1206872279.9095047,1355987466.5568538,1456950429.2258806
