,sites,1,2,3,4,5,6,SDEV
0,ELPA_SUNN_in,0.012440779,0.01740308,0.02373407,0.032761015,0.04201732,0.049619586,0.01443991
1,ELPA_SUNN_out,14.34619872,21.18074544,29.50809089,41.15843564,52.88747377,62.47284251,18.64461939
2,ATLA_NASH_in,8.984138606,12.55479359,16.96772953,22.49611255,27.84114159,32.10492856,8.945035368
3,ATLA_NASH_out,13.3615388,17.92924539,24.06767519,32.70566537,41.4823293,48.6454121,13.7404876
4,CHIC_ECHI_in,10.35501324,11.75367334,13.65805538,16.14348887,18.47665836,20.23318442,3.86347542
5,CHIC_ECHI_out,6.129063226,6.611887818,7.657289342,8.857594659,9.905749575,10.66398599,1.814024834
6,HOUS_NASH_out,20.92515694,29.23231889,39.13245694,53.11199052,67.20061328,78.6694292,22.35756632
7,ELPA_HOUS_in,16.82967774,24.50634798,33.7461167,46.66086289,59.70124594,70.34196973,20.7172245
8,EASH_ECHI_in,4.401690747,4.618608853,5.397983215,6.273836752,7.013932704,7.533621766,1.279370996
9,EASH_ECHI_out,5.383804972,5.778691724,6.941693988,8.125137253,9.163280465,9.971815397,1.843796351
10,EASH_WASH_in,7.494009343,8.062265286,9.435681041,10.8703781,12.13743836,13.110406,2.2427069
11,EASH_WASH_out,5.169813904,5.463867101,6.312042145,7.241889867,8.021296909,8.569618901,1.378344493
,,,,,,,AVE,8.070091007
