,sites,1,2,3,4,5,6
0,ELPA_SUNN_in,329935508164881.2,389763319089340.9,484313753027281.1,620139435961848.9,761647671274347.4,878955539927252.0
1,ELPA_SUNN_out,1024150466.9077224,1187331863.902497,1470200886.0294485,1884182388.978012,2317147976.4085636,2676006220.1028275
2,ATLA_NASH_in,1111648131.6377733,1240032102.0114667,1482452035.921293,1795563199.7272863,2100204868.3855162,2343322963.1728578
3,ATLA_NASH_out,1017915281.3892535,1077116696.7072406,1252073192.5134344,1534121344.4038732,1838263861.0416543,2093831302.4042544
4,CHIC_ECHI_in,1424591655.8926618,1478065681.2140338,1763477009.220306,2102241430.4228795,2378834067.777853,2560876970.175831
5,CHIC_ECHI_out,1209205869.4778244,1242312147.1352837,1434079305.7517076,1685153950.4101043,1897852170.9333026,2039501221.2832973
6,HOUS_NASH_out,832431271.1251321,943224340.9868542,1137065503.5337641,1415488425.2381904,1704588254.675978,1943768377.5134912
7,ELPA_HOUS_in,1080177822.1933846,1238745035.1337543,1521835330.9621284,1947556297.035614,2397855114.9173446,2772816056.8425794
8,EASH_ECHI_in,1339229553.9585502,1371272008.7906563,1579536424.8358881,1852555615.9678361,2084311407.9083762,2239357603.385855
9,EASH_ECHI_out,1060919625.2706496,1094893038.2269359,1303557997.146565,1553349152.4117599,1758175453.330389,1893857446.3478138
10,EASH_WASH_in,1285970981.8118272,1324692229.1506479,1569657113.3495748,1864353585.0470557,2104824442.613387,2262389397.415136
11,EASH_WASH_out,1174544415.834075,1210289497.2913704,1398378851.4976552,1642536876.0370073,1849482489.6964483,1987884297.6389296
