,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.791575375,0.811597846,0.812476753,0.807274967,0.80044834,0.792893014,0.784853979,0.776600054,0.768395052,0.760427422,0.752792733,0.745480315,0.738442829,0.731664853,0.7251769,0.719053012,0.713361294,0.708154155,0.703423936,0.699125526,0.695179394,0.69148862,0.687944692,0.684444391,0.043520678
1,ELPA_SUNN_out,0.551900593,0.577219945,0.575932895,0.566315771,0.556006816,0.545194536,0.532947197,0.519265713,0.504815749,0.490381591,0.476540948,0.463575563,0.451547997,0.440430529,0.430191732,0.420814633,0.412273504,0.404506046,0.397401552,0.390807375,0.384546319,0.378437014,0.372311554,0.366028243,0.072252239
2,ATLA_NASH_in,0.784414392,0.803143604,0.804762272,0.79694744,0.786881326,0.777675144,0.76993292,0.763135095,0.756604007,0.749907422,0.742898502,0.735628639,0.728260669,0.721007396,0.714083772,0.707666662,0.701866713,0.696717386,0.692180658,0.68816384,0.684540741,0.681171864,0.677920613,0.67466467,0.043451317
3,ATLA_NASH_out,0.581688966,0.610437117,0.612444425,0.604785861,0.595607616,0.585587615,0.573860813,0.560302492,0.545621692,0.530809796,0.516637308,0.503452451,0.491260814,0.479915561,0.46926503,0.459206007,0.449668785,0.440580761,0.43184087,0.423313771,0.414840216,0.406255088,0.397406116,0.388169432,0.075151845
4,CHIC_ECHI_in,0.782768935,0.808016173,0.813415032,0.799830542,0.77895341,0.758757038,0.74285004,0.730992632,0.721275782,0.711832931,0.701514001,0.689905246,0.677120612,0.663569606,0.649763098,0.636172236,0.62314487,0.61087523,0.599413755,0.588699159,0.578597423,0.568937572,0.559539446,0.550232816,0.084653904
5,CHIC_ECHI_out,0.621536901,0.671135138,0.682174683,0.65276396,0.610009719,0.570953243,0.542400906,0.523012573,0.508241709,0.493849894,0.477162619,0.457027721,0.433378143,0.40679273,0.378143648,0.34833385,0.318124332,0.288049002,0.258401804,0.229272117,0.200601509,0.172242608,0.144008655,0.115709008,0.175046202
6,HOUS_NASH_out,0.750226777,0.773508985,0.77556582,0.770605668,0.763555451,0.755641008,0.747265075,0.738722807,0.730246348,0.72199267,0.714041596,0.706415813,0.699127429,0.692220132,0.685777057,0.679894951,0.674647042,0.670056296,0.666087393,0.662654647,0.659638389,0.656903129,0.65431289,0.651743001,0.042783923
7,ELPA_HOUS_in,0.551505063,0.577735396,0.577003602,0.568472722,0.559176002,0.548942649,0.536920133,0.523325505,0.508984213,0.49474896,0.481195578,0.468563354,0.456860761,0.446016361,0.435975174,0.426716079,0.41822193,0.410444654,0.403288518,0.396614039,0.390254612,0.384036904,0.377798788,0.371402509,0.070688561
8,EASH_ECHI_in,0.625047697,0.674082599,0.685220245,0.657240331,0.616465279,0.579254552,0.552085414,0.533656215,0.519625438,0.50595529,0.49009847,0.470953804,0.448449242,0.423125434,0.395802557,0.367332418,0.338435161,0.309618065,0.28116282,0.253158103,0.225552857,0.198211936,0.170962717,0.143628934,0.167035977
9,EASH_ECHI_out,0.785605344,0.810804032,0.816461539,0.803711313,0.783841898,0.764483267,0.749130508,0.737622185,0.728183938,0.719052369,0.709127216,0.698001737,0.685770615,0.672811569,0.659601014,0.646579815,0.634073612,0.622263939,0.611197251,0.600814992,0.590990606,0.581563128,0.572363603,0.563232972,0.081286519
10,EASH_WASH_in,0.774872895,0.801119603,0.807134948,0.79410785,0.773748091,0.753961639,0.738343375,0.726693173,0.717150102,0.707878651,0.697740237,0.686319382,0.67372117,0.660343579,0.646686075,0.633210772,0.62025996,0.608026169,0.59656127,0.585807836,0.575637148,0.565884313,0.556375408,0.546946266,0.083459333
11,EASH_WASH_out,0.596858179,0.650224173,0.662411607,0.631683507,0.586777035,0.545753434,0.515819062,0.495562833,0.480190467,0.465236135,0.447883683,0.426919464,0.402270398,0.374542306,0.344649521,0.313539423,0.282010847,0.250624415,0.219688876,0.189297841,0.159389669,0.12980934,0.100360318,0.070842325,0.182599049
,,,,,,,,,,,,,,,,,,,,,,,,,AVE ,0.093494129
