,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,310572459094237.8,290966490483290.9,307561533706764.06,344548823571558.0,389903500154956.1,435909007235899.4,477229235848419.56,512042530831835.8,541168957928811.25,565777323839153.9,586519047505131.5,604036617558063.6,618943714120687.6,631668244244120.4,642860131519106.1,652643737135531.6,661614042638428.2,670130934599595.6,678168122941137.6,686175441659732.2,694265907013989.9,702630324111161.9,711358621135360.9,720473105561800.6
1,ELPA_SUNN_out,1076990659.216304,1034693338.1035031,1058991732.5453676,1139011232.6333668,1247668052.2319674,1371067522.2507267,1495070854.8510382,1609043169.5518553,1709803212.093599,1795725523.6121564,1867576469.9631312,1927872431.6668603,1978375248.523118,2020935342.457321,2057569545.438535,2089781388.4883978,2118625541.062887,2145384405.565539,2171080862.041811,2196847286.2308035,2222697118.156103,2249004066.616772,2275994629.4687195,2304446172.2554436
2,ATLA_NASH_in,1203652614.8782744,1121447710.4734895,1159695042.1367345,1250059109.8954701,1351454719.4033,1449914879.639632,1539987407.862515,1620241768.0295632,1690638583.0323968,1751820920.5068727,1804122993.2624612,1849342910.277643,1888186622.2756789,1921978014.7363591,1951827767.7783175,1978798930.479099,2003753035.1993148,2027708360.054943,2050901132.8334584,2074439120.0728724,2099002638.267004,2123788669.2299173,2148851448.5946403,2174088769.3262877
3,ATLA_NASH_out,1049192793.0194265,996854023.2194437,1002524547.1025603,1047923608.0285559,1122850321.9311216,1206635175.3275068,1290120256.325078,1368555926.340144,1437532130.5565703,1497952816.2987506,1550525013.7800393,1595753496.1960814,1634390595.5248065,1668512534.5073266,1698791910.2828681,1726272575.0154295,1752021803.1377656,1776487656.5792227,1799810226.769395,1822874429.3907578,1846318519.2753093,1870025717.3375506,1894017495.789126,1918343243.0194523
4,CHIC_ECHI_in,2653340733.1458707,2409929962.9297423,2491920988.081383,2680823445.104277,2824744619.5521593,2908924653.8060613,2956979396.531001,2989276723.04975,3021835121.7834496,3059374897.445016,3102601399.462966,3151974171.7260137,3207111818.2810097,3268332707.343372,3334813252.4440393,3406011135.497319,3481246916.4483857,3559204185.749955,3640548647.7301903,3724968351.17158,3811502868.4434214,3899376507.389698,3988026586.092527,4076406650.6424847
5,CHIC_ECHI_out,2435251523.2221656,2150570414.4402113,2279050043.969154,2524497792.796962,2706064799.985665,2799401467.718009,2841290205.2368917,2866294034.7916765,2894278735.985783,2934598640.137605,2989058764.607108,3057490010.080687,3137992360.413184,3228968966.532889,3328241206.396519,3434842646.6972995,3546290442.274359,3661628851.0371547,3780352468.9133058,3900232695.137752,4020581088.087151,4140341007.0787973,4258975676.2817264,4375232922.1608925
6,HOUS_NASH_out,825781252.1137731,778513541.1506376,821936620.7393382,906356879.3509972,1007569004.1419445,1105428345.0544405,1190784754.9226263,1264559321.5935364,1327877165.8981276,1381701982.541132,1427048810.4646785,1465609409.7284367,1499012020.2335567,1527948273.0556843,1552868072.9992375,1575345623.465728,1596134020.1267157,1615573582.693582,1634144357.3791556,1652513198.9152927,1670861406.2739446,1689147039.4903228,1707592485.3370938,1726776546.51286
7,ELPA_HOUS_in,1096779605.3557074,1054729372.6367712,1079860253.3467076,1162663086.6356251,1279265087.0848775,1406140797.2861357,1529782072.1109445,1643117310.4436085,1741721197.8889182,1825109487.3029869,1895690526.1117084,1954896709.3008177,2005147408.5819354,2048039401.2441049,2084623085.8006625,2116033631.132107,2143757591.6056688,2170506822.318795,2196591113.402525,2221910780.354631,2247309482.8220935,2273301684.4791255,2300759121.438403,2329355401.8618627
8,EASH_ECHI_in,2654568599.371036,2340509019.551971,2476626412.768794,2738135520.1252465,2933746671.871578,3036510387.571867,3083959810.167721,3113050833.614905,3144756008.358964,3189006665.385005,3247371066.8646235,3320479071.8910317,3406710939.116497,3504182000.9021792,3611697724.9872723,3727595997.629089,3848268763.2742043,3973601926.2696714,4101984725.5182877,4231659295.592455,4362300621.604981,4492671874.226417,4621168278.497087,4747351194.015374
9,EASH_ECHI_out,1946902366.3718069,1765634715.8818555,1819630784.5853171,1951947212.3642125,2054825685.7470608,2117038444.0620773,2152965108.4397817,2177848109.8483715,2201340378.6860757,2229203900.6016355,2262107945.670242,2299915568.6424623,2341899431.3507566,2388130071.134311,2437966409.5143533,2491066627.7888594,2546666151.1559567,2605285647.556506,2666408985.754555,2729850964.3360887,2795227720.6779656,2861693037.1666894,2928452573.947328,2994431453.644692
10,EASH_WASH_in,2339808955.47554,2122921085.1320307,2187116969.656263,2346449862.7111087,2471261804.659225,2544336157.0184655,2584636252.0949078,2613389802.0911727,2641252535.67193,2673408276.323566,2711708931.768602,2755363772.9436355,2804194604.6536922,2857802151.9917417,2915986196.989137,2977826910.765503,3042622511.912111,3111304269.9431176,3183259284.463181,3258891317.238911,3335432086.686567,3412359329.099976,3490222496.157525,3567044921.3271904
11,EASH_WASH_out,2375432091.281309,2096321437.428899,2222241019.9956846,2458699733.298345,2632357016.5446787,2720017960.504433,2760171165.8862557,2783618112.6196723,2810975539.5666304,2849588273.3586917,2900825430.7248206,2964738914.0215626,3040701639.691073,3127174011.8536253,3222405169.277553,3324819675.3274794,3431832882.5500255,3542390012.869056,3655722088.9800005,3770391810.0433292,3885691655.5700545,4000937369.992995,4114887632.6736484,4226680102.1173887
