,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,570979136031052.9,546918859860656.94,557203856980941.9,589822054672579.0,628538957251874.0,667007957228950.8,702598483778090.4,734244852957410.1,761763123130345.8,785434287525597.1,805722114568934.8,823134453932633.8,838164729278649.0,851281950346971.6,862918828295330.9,873476989022253.4,883314562844627.1,892734784814820.6,901983568913305.4,911254563184447.5,920667793705528.2,930310012407743.0,940203951686227.6,950361175053274.0
1,ELPA_SUNN_out,1896133417.1476789,1856019640.9784474,1862916391.6010861,1915148133.5357392,1988881855.37816,2076650167.8941605,2171389216.7248917,2265542439.4285245,2353582310.8223534,2432669672.078726,2502009079.8929133,2562021652.5867043,2613745028.672607,2658479618.635413,2697594683.838274,2732418870.261478,2764171139.988213,2793915105.5901694,2822531442.1483994,2850706978.777756,2878939349.6733284,2907553648.791655,2936727979.4122376,2966522066.816459
2,ATLA_NASH_in,2071324785.400548,1961261693.8391457,1986139834.482993,2077772810.9223912,2170818609.083368,2250144863.102818,2318659757.394924,2380121764.489522,2435914401.4912195,2486174755.6601434,2530926871.8129225,2570517054.1838675,2605625558.5458317,2637137847.4145455,2666007540.445432,2693150442.9578967,2719372532.8310127,2745327719.5797887,2771500080.705904,2798205878.9302926,2825611619.276964,2853760198.702049,2882602881.095409,2912030149.531753
3,ATLA_NASH_out,1663172864.3060546,1594633349.9748523,1581543854.2516203,1611651559.2906926,1663536928.5834932,1726790952.163548,1794592773.387287,1861975946.534611,1925740864.7484605,1984263151.06418,2037075624.2686172,2084436391.483096,2126993691.69404,2165563905.453273,2200997627.4954615,2234100940.335944,2265588893.297383,2296059644.5493736,2325983170.0293126,2355702509.4815516,2385443972.3431273,2415333883.387939,2445418020.4092913,2475682605.486956
4,CHIC_ECHI_in,3770356376.8599577,3468144976.973,3591802521.971502,3844811882.559996,4046177012.1606884,4168473122.193659,4240597797.781266,4292335719.828205,4341264961.41114,4395191211.310799,4456609664.15984,4525681304.378736,4601727434.866551,4683859382.030903,4771195974.963548,4862906501.077748,4958195740.017536,5056279397.429728,5156374382.406589,5257704650.525661,5359521237.507702,5461129492.262205,5561914721.426138,5661364498.132622
5,CHIC_ECHI_out,3272697843.1573496,2951617973.02762,3097848926.6718006,3367909186.203783,3577140820.3690543,3698745215.2402596,3764757656.444226,3808905008.147965,3852033699.74216,3903932763.8262653,3967918356.037508,4044179207.598386,4131602183.0842137,4228632407.2647285,4333642096.004369,4445070264.402925,4561465137.4705105,4681490398.039356,4803921624.020398,4927648103.035329,5051678674.556558,5175152616.1061945,5297348848.433519,5417691956.102531
6,HOUS_NASH_out,1412104502.6646702,1351256461.6788807,1373433324.2888904,1448302307.488054,1535120096.9910045,1618049132.2763975,1692406131.1600358,1757462047.3123496,1813822509.3708692,1862497174.912842,1904555681.875435,1941020356.1537821,1972849374.2740932,2000944852.080878,2026155943.1409087,2049268707.2410214,2070986921.2846465,2091911396.9493537,2112525592.0711162,2133191048.3012905,2154152799.792307,2175552422.8573065,2197446424.2262774,2219825747.7526975
7,ELPA_HOUS_in,1933225505.6682172,1891474002.7761843,1898268194.0628803,1951998049.0984592,2029016828.758775,2120131294.8671024,2217009378.757467,2311986377.342544,2400005352.3396816,2478720996.6710696,2547659165.412427,2607396133.7722993,2659019279.716879,2703826187.504454,2743164162.26554,2778337191.775807,2810543384.429017,2840829972.6669955,2870064703.289242,2898923717.1283445,2927894628.735593,2957293440.3487444,2987288967.3807144,3017932439.084908
8,EASH_ECHI_in,3587214551.2765965,3233644645.7583027,3387731334.290747,3677674309.5217423,3904317776.091991,4037486835.971297,4110776346.188696,4160097775.5303698,4207798645.983032,4264470378.999582,4333793709.3860445,4416092129.925493,4510276941.378114,4614765124.577517,4727872940.952092,4847968565.707687,4973519581.395266,5103102178.698687,5235401116.0692,5369214061.885756,5503461355.906344,5637199910.038272,5769635145.950586,5900128682.981226
9,EASH_ECHI_out,2785246182.6959887,2559870471.77749,2646628678.0819817,2829096018.0330462,2976605929.085614,3067982469.391523,3123113566.348363,3163151732.0027876,3200783402.4336963,3241755417.604192,3287984261.1891727,3339669647.220674,3396372418.1991405,3457476451.9894323,3522353789.551937,3590402332.1360736,3661039900.766537,3733690229.879433,3807776873.234929,3882729790.26471,3957999737.644066,4033077869.1750402,4107515119.3225255,4180937074.6500373
10,EASH_WASH_in,3341257822.686699,3070483000.8684373,3172107108.5318565,3388326859.0287104,3564182742.8034267,3673641317.603096,3739781717.0469623,3787614229.367918,3832268158.446455,3880647364.995987,3935082899.213588,3995846640.9764385,4062441486.4576526,4134156030.8275723,4210262888.566568,4290064029.941764,4372884043.390937,4458053923.59203,4544903851.451194,4632770724.296426,4721015055.525451,4809044117.855449,4896334424.434816,4982449280.315824
11,EASH_WASH_out,3180503345.088014,2866476005.74883,3006622337.245474,3267549056.8996634,3468769705.6113186,3584687812.1908393,3646899484.2696056,3688258286.5352187,3728875188.9666862,3778082039.877605,3838977302.2607403,3911691164.755551,3995141303.6094017,4087846672.839714,4188266980.843558,4294927981.545516,4406455558.312385,4521578946.905025,4639127118.468742,4758030698.962981,4877329830.8927145,4996185802.606099,5113891844.912098,5229880381.831563
