,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.019052429,0.017436326,0.018808341,0.021332074,0.023686981,0.025464152,0.026871227,0.028045734,0.029050199,0.029916051,0.030670797,0.031326608,0.031927301,0.032495078,0.033046056,0.033588329,0.034125672,0.034654591,0.035177966,0.035718117,0.03626162,0.036810227,0.037360382,0.037910486,0.006213035
1,ELPA_SUNN_out,19.89304088,18.05553131,20.01351058,23.43737296,26.52072406,28.78136783,30.37156571,31.58969259,32.63965598,33.65445589,34.65843365,35.65223006,36.6271638,37.57684159,38.49200265,39.37810949,40.22771736,41.04249054,41.82998653,42.60757912,43.38050935,44.14926522,44.91471209,45.67084117,8.332864629
2,ATLA_NASH_in,12.57256067,11.84565268,13.0032962,14.84009398,16.46691008,17.65751714,18.48691434,19.09650468,19.59012354,20.0148595,20.39214104,20.72587188,21.03051331,21.31737379,21.58221757,21.83348334,22.0820705,22.32455988,22.56457122,22.81188239,23.0661769,23.33294193,23.60601583,23.87943627,3.606591975
3,ATLA_NASH_out,17.95175526,16.69972079,17.6102732,19.44942941,21.15095415,22.42253742,23.47946402,24.42817378,25.25941496,26.00224607,26.68098087,27.28872269,27.86534549,28.42589366,28.96472623,29.47097996,29.96913073,30.46603843,30.95398852,31.43411201,31.9165292,32.40242518,32.88552911,33.38013398,5.123050073
4,CHIC_ECHI_in,22.1065999,21.83670635,22.81643629,24.11706741,24.96353602,25.32879534,25.41893545,25.40617284,25.41838113,25.52227803,25.73607391,26.05706219,26.46487892,26.95703718,27.52186329,28.13367106,28.78882373,29.46631577,30.15625207,30.84367393,31.51804617,32.17172982,32.79987105,33.39857923,3.311074823
5,CHIC_ECHI_out,12.37097948,11.65156997,12.29638861,13.52290992,14.55329618,15.28548379,15.79392512,16.17338433,16.49896122,16.78021965,17.03022948,17.26523701,17.5038732,17.74462167,17.99460241,18.26367513,18.59220815,18.94760726,19.32304659,19.71139419,20.11041215,20.50813722,20.90417117,21.30270624,2.748135443
6,HOUS_NASH_out,27.32103608,25.76881508,28.27835092,32.25123507,35.61946879,37.88886429,39.50682298,40.83929468,42.07747937,43.27224039,44.44450543,45.59047701,46.70667279,47.7734617,48.78253642,49.72579744,50.59750737,51.40826749,52.2188218,53.01310478,53.78618965,54.54579507,55.30068116,56.05665945,9.191289393
7,ELPA_HOUS_in,22.93237167,20.91260882,23.32914594,27.28082578,30.77325209,33.28877135,35.07970906,36.44294771,37.60450258,38.67751793,39.73343341,40.76081205,41.74612839,42.67407314,43.55157532,44.38646414,45.17850305,45.94592394,46.69085463,47.42710954,48.15681791,48.88843121,49.63519866,50.38345531,8.862610982
8,EASH_ECHI_in,9.462573926,8.616996168,8.880238115,9.69598348,10.41231716,10.92239666,11.29206084,11.61597553,11.93141527,12.23824079,12.53951051,12.83381976,13.1231934,13.40976971,13.69634367,13.98298635,14.2725195,14.5733788,14.88207945,15.19010901,15.49690896,15.79879445,16.0976609,16.39169105,2.338305876
9,EASH_ECHI_out,11.23987026,10.13898942,10.17220356,10.76741357,11.39805707,11.91065283,12.34823681,12.72097101,13.03048668,13.29206185,13.51459414,13.70186404,13.85844274,13.99602553,14.12013291,14.23969126,14.36112127,14.48583868,14.61839567,14.76359176,14.9147545,15.07026958,15.23096874,15.39441124,1.616798165
10,EASH_WASH_in,14.22430998,13.17078432,13.49828549,14.44024921,15.34891837,16.05313473,16.59051728,17.00521325,17.33203,17.59060656,17.79196924,17.95426771,18.09126656,18.20966141,18.32374508,18.4450387,18.57558985,18.71949383,18.88362167,19.06361836,19.25689796,19.46133617,19.67276195,19.8897537,1.972868352
11,EASH_WASH_out,10.30988366,9.538486898,9.921626299,10.86513562,11.65236185,12.18956179,12.57146797,12.8958164,13.20149924,13.50364067,13.80446692,14.09967696,14.39459021,14.69586584,15.00208978,15.3100253,15.62457687,15.94707793,16.27561957,16.604082,16.92925905,17.24908347,17.56445228,17.87539568,2.47951771
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,4.132443371
