,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,STDEV
0,ELPA_SUNN_in,0.02377267,0.021860537,0.022091038,0.023355927,0.025442286,0.0281908,0.03102447,0.033585958,0.035824333,0.037766254,0.039451182,0.040988094,0.04242814,0.043798517,0.045149436,0.046507584,0.047894428,0.049326356,0.050835015,0.052427845,0.054110714,0.055885915,0.057764462,0.059736745,0.012069186
1,ELPA_SUNN_out,23.90230077,21.03323283,20.44389476,22.12436621,25.67862154,30.18803806,34.68536649,38.69339524,42.07000525,44.92526609,47.394006,49.60104408,51.64640465,53.61408746,55.55229555,57.5137091,59.54531175,61.67355582,63.92719089,66.32296944,68.87211976,71.57380903,74.43225755,77.43720827,18.07887493
2,ATLA_NASH_in,15.48232896,14.52432999,14.85689577,15.87950123,17.39045951,19.19477851,21.00927222,22.70858298,24.21551181,25.5203433,26.65280008,27.66807954,28.59844456,29.46709603,30.29351387,31.11262093,31.94456617,32.80517155,33.70516892,34.6631386,35.6786525,36.7668642,37.92277855,39.13789605,7.83818065
3,ATLA_NASH_out,21.51188691,20.41566067,20.44770488,21.2352286,22.93996272,25.3415942,28.00480959,30.49187675,32.72181897,34.65897968,36.36706294,37.8966951,39.29115026,40.59039889,41.82913497,43.03123645,44.22977026,45.44754721,46.7032914,48.01711772,49.40132001,50.84936818,52.37569299,53.96771163,11.04574921
4,CHIC_ECHI_in,23.84103793,23.63980476,24.92246616,26.55948824,28.35973837,30.06025914,31.56692729,32.87391097,33.99458518,35.01696891,36.00037619,36.96648556,37.93048881,38.89039004,39.84117786,40.78174713,41.71103733,42.62775526,43.52840651,44.4137999,45.28391141,46.13933417,46.98194411,47.81509864,7.615853356
5,CHIC_ECHI_out,14.42704998,13.22198862,13.46200231,14.05383508,14.88410534,15.79301717,16.65368184,17.40145376,18.03652171,18.59429284,19.09835351,19.58021679,20.05834389,20.53903952,21.02940538,21.52681812,22.0346117,22.54446213,23.04700243,23.54076144,24.02525153,24.49334915,24.94313419,25.37181424,3.866816337
6,HOUS_NASH_out,35.05047649,32.52540177,32.51326259,34.70765354,38.95120634,44.24818046,49.5545786,54.21622869,58.19145252,61.57536955,64.51034536,67.1316994,69.54905795,71.84623247,74.08121946,76.29884278,78.55686175,80.89693195,83.36520179,85.9783375,88.74686894,91.66998504,94.73671127,97.92710177,21.04320474
7,ELPA_HOUS_in,26.94148711,23.97048765,23.71537274,25.79966245,29.94896587,35.17886526,40.35837054,44.9673241,48.84725731,52.11232518,54.91274357,57.40376732,59.69312601,61.85635271,63.96358597,66.06529468,68.21726227,70.45581434,72.81592576,75.33091652,78.01886741,80.88563852,83.90436485,87.08461043,20.26290049
8,EASH_ECHI_in,11.37763057,10.14309705,10.09106711,10.31167563,10.77481762,11.3460031,11.8704851,12.30821316,12.67675028,13.00309818,13.30277451,13.59066345,13.88541625,14.18594168,14.4991675,14.81623454,15.13205506,15.44706464,15.74784057,16.03265111,16.30095764,16.54798064,16.76894602,16.96706466,2.239753602
9,EASH_ECHI_out,13.52730824,12.54160179,12.5679509,12.78799105,13.19491306,13.66057626,14.10975976,14.52806906,14.89446377,15.20360635,15.46359036,15.68116376,15.86253842,16.01910413,16.15205453,16.27110901,16.38280273,16.49212562,16.60236536,16.7143893,16.82504582,16.93328933,17.04015652,17.14998895,1.53545227
10,EASH_WASH_in,16.78140102,15.77427341,16.00508755,16.47974441,17.15394334,17.86353265,18.55166936,19.16670437,19.69776226,20.16263249,20.56310213,20.91027871,21.21787104,21.49947159,21.75980071,22.0093467,22.25254273,22.49828146,22.74904625,23.00627364,23.26641951,23.52920047,23.79649748,24.06972866,2.648516069
11,EASH_WASH_out,12.11227858,10.82969965,10.78640927,11.07595767,11.62997655,12.27582025,12.87701893,13.39407577,13.82715893,14.20793067,14.56358148,14.90949091,15.26317738,15.62041064,15.98128259,16.34790334,16.71410199,17.07727985,17.43091763,17.76612118,18.07892106,18.3661656,18.62855282,18.86615918,2.636226189
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,8.235299753
