,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,4.35468197697916e+29,3.7159970441129504e+29,3.722407350382199e+29,3.970973558429126e+29,4.3637288308528465e+29,4.858935331289028e+29,5.391596863529626e+29,5.9061659178521116e+29,6.377050623008465e+29,6.801712839990142e+29,7.187869767896316e+29,7.545572170518404e+29,7.883893312037418e+29,8.21140824769493e+29,8.536242963930606e+29,8.867047829312489e+29,9.21239878123564e+29,9.580908141411531e+29,9.980684634644834e+29,1.041899765172472e+30,1.0901958171414273e+30,1.1434231387144457e+30,1.201889836374494e+30,1.2656881195335137e+30
1,ELPA_SUNN_out,2.956072426104521e+18,2.564914445638161e+18,2.577752849936301e+18,2.7597127987927613e+18,3.057301628105084e+18,3.4640855662663383e+18,3.9392162374290596e+18,4.43229994352387e+18,4.910059658334824e+18,5.358757255408539e+18,5.776500293084232e+18,6.166581016830397e+18,6.534324146759055e+18,6.886281983803363e+18,7.230263885372611e+18,7.575329785919508e+18,7.931486404455628e+18,8.309144476720263e+18,8.718489387746374e+18,9.168874295757371e+18,9.668298315836959e+18,1.0222987758252628e+19,1.0837097109881465e+19,1.1512542635405877e+19
2,ATLA_NASH_in,5.180551146972832e+18,4.2703455445305006e+18,4.1982073073741757e+18,4.4812384567556055e+18,4.877290028258422e+18,5.284932398718886e+18,5.660578776694938e+18,5.993447771842576e+18,6.288172308179721e+18,6.553451808593376e+18,6.79684810407155e+18,7.023684939635798e+18,7.23773888231352e+18,7.442230801502568e+18,7.640489175207598e+18,7.836179511462938e+18,8.033249552718095e+18,8.235766318618735e+18,8.447764509833756e+18,8.673135925795325e+18,8.915537893355248e+18,9.178284997023096e+18,9.464208297376854e+18,9.775498240781177e+18
3,ATLA_NASH_out,3.0166578838200223e+18,2.62985946340426e+18,2.574531838604371e+18,2.6481988429041193e+18,2.7807331285022213e+18,2.9599482047072517e+18,3.1672636093916493e+18,3.3833126623249884e+18,3.596247836701018e+18,3.800889275043681e+18,3.995316973645479e+18,4.17877256416191e+18,4.351100444498443e+18,4.512900508298255e+18,4.665742843740474e+18,4.812159909197013e+18,4.955419336632757e+18,5.099188814398828e+18,5.247200483538736e+18,5.402974911290086e+18,5.569616813840589e+18,5.749671045419316e+18,5.945026865327124e+18,6.156864222275599e+18
4,CHIC_ECHI_in,1.6817930562925494e+19,1.4012147918049989e+19,1.387787104073996e+19,1.5104805507959513e+19,1.681564630375887e+19,1.8469059042734293e+19,1.9834464718134014e+19,2.0922949508979044e+19,2.1829397115495342e+19,2.264041870547088e+19,2.3410249021435916e+19,2.4166150831682986e+19,2.4918968301214306e+19,2.5670582349862e+19,2.641772900636265e+19,2.71537012577155e+19,2.7869372232987337e+19,2.8554281809410724e+19,2.919799724477591e+19,2.9791581238070014e+19,3.0328808897651446e+19,3.0806933134541267e+19,3.1226891829060497e+19,3.1592978326387864e+19
5,CHIC_ECHI_out,1.1414087948102912e+19,8.690657153689406e+18,8.346754822642506e+18,9.091417821842391e+18,1.0314060027128576e+19,1.1606576222462714e+19,1.2741244177761524e+19,1.3680533059424676e+19,1.4475417057446033e+19,1.519045974463063e+19,1.5875702722748815e+19,1.6563156129365236e+19,1.727044925728566e+19,1.8004673168325018e+19,1.876504154330818e+19,1.9544760791287906e+19,2.033268199921082e+19,2.111502722159144e+19,2.1877203283208466e+19,2.2605521962318623e+19,2.3288627246670143e+19,2.3918454521709056e+19,2.4490652030404588e+19,2.5004509178132845e+19
6,HOUS_NASH_out,2.670045425928493e+18,2.2783160593153981e+18,2.263708076959181e+18,2.3937801402801894e+18,2.604707776252823e+18,2.864960364846156e+18,3.1394658622808125e+18,3.401615813882291e+18,3.6399143333840287e+18,3.853751783652283e+18,4.0471648632954465e+18,4.225048274585478e+18,4.391853502085452e+18,4.551573121179542e+18,4.708056411871396e+18,4.86522596224308e+18,5.027095061051337e+18,5.197652580367905e+18,5.380693803687994e+18,5.579652739443897e+18,5.797454268082486e+18,6.036389142431011e+18,6.298016981838167e+18,6.583102186079986e+18
7,ELPA_HOUS_in,3.1740735218422026e+18,2.765001135164422e+18,2.7765312708188426e+18,2.961915376730533e+18,3.2732555815402107e+18,3.7065361727312123e+18,4.2155506543896607e+18,4.743910878696034e+18,5.255399043209366e+18,5.735843389796789e+18,6.183938097255671e+18,6.603654998755206e+18,7.000800968837476e+18,7.382247826707918e+18,7.756082605563524e+18,8.131689795183474e+18,8.51946952698993e+18,8.930270003696266e+18,9.374706669350066e+18,9.862500497012054e+18,1.0401915252453351e+19,1.0999315305143026e+19,1.1658857657163393e+19,1.238233717263293e+19
8,EASH_ECHI_in,1.3724116384988596e+19,1.0492378343859827e+19,1.0087040519850613e+19,1.0954737171173988e+19,1.237842974105183e+19,1.3883015736584045e+19,1.5203864146849307e+19,1.629717999665579e+19,1.7221804302042489e+19,1.8052436364286808e+19,1.884716237600536e+19,1.964341770667758e+19,2.046214888362113e+19,2.131215140117702e+19,2.2193051425156665e+19,2.3097387494396223e+19,2.40125011186225e+19,2.492253471570045e+19,2.5810555184237187e+19,2.6660587069142995e+19,2.7459306858531135e+19,2.819718320828181e+19,2.8868986867324813e+19,2.9473724932328673e+19
9,EASH_ECHI_out,9.156134509419387e+18,7.654860561213684e+18,7.584971573561309e+18,8.2283628142629e+18,9.123208052856254e+18,9.988321171973253e+18,1.0705315678964873e+19,1.1281107228912701e+19,1.1765240906870014e+19,1.2202189751447646e+19,1.2619257583295414e+19,1.302974712259092e+19,1.343862206407484e+19,1.384642592055356e+19,1.4251229790984645e+19,1.4649459148084052e+19,1.5036354980720046e+19,1.5406508131954293e+19,1.5754552571980739e+19,1.607591239138741e+19,1.6367433929660955e+19,1.6627791201313468e+19,1.6857580574693364e+19,1.7059150705531507e+19
