,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV,
0,ELPA_SUNN_in,4.51961E+14,4.10987E+14,3.96735E+14,3.92896E+14,3.94516E+14,3.9946E+14,4.05643E+14,4.11751E+14,4.17033E+14,4.21218E+14,4.24394E+14,4.26848E+14,4.28973E+14,4.30974E+14,4.33267E+14,4.3644E+14,4.40648E+14,4.45873E+14,4.52215E+14,4.59946E+14,4.69497E+14,4.81118E+14,4.94993E+14,5.10785E+14,3.15423E+13,3.15423E+13
1,ELPA_SUNN_out,1611055403,1469530393,1417726566,1402521153,1405601760,1419464087,1438005285,1456824476,1472776800,1484378385,1491937599,1496150272,1498237848,1499903540,1501922855,1505425013,1511924990,1520825991,1532388872,1547469528,1566712570,1590109157,1618083277,1651153364,67396515.03,67396515.03
2,ATLA_NASH_in,1632919057,1545988944,1527679629,1537730873,1567991584,1610294009,1654585744,1693356809,1721752412,1737823664,1742297211,1737632541,1726789587,1712692227,1698131959,1685165421,1674785054,1667768675,1665294590,1666894560,1672568831,1682163972,1695576688,1712212387,64117111.08,64117111.08
3,ATLA_NASH_out,1454328258,1330277171,1283430473,1268192753,1271633833,1285707629,1306016910,1325528838,1341732332,1353674324,1361303006,1365529201,1367059275,1367550735,1367994787,1369378493,1371506614,1374803335,1379957311,1387515217,1397950769,1410901137,1427430579,1447867788,51054968.97,51054968.97
4,CHIC_ECHI_in,3173317998,3279250418,3333693778,3397724147,3486624714,3589422111,3689596293,3770069356,3821846875,3841701859,3831693030,3797506491,3746461808,3686526613,3625235604,3568206428,3518797233,3479111310,3450212844,3431542778,3422450807,3421654301,3427399406,3437749226,187873418,187873418
5,CHIC_ECHI_out,2878945982,3107614652,3194039044,3267814161,3364783825,3476373383,3583374072,3668205375,3721085139,3738718591,3723785817,3682771264,3623560930,3554747509,3483519375,3416266336,3358442212,3312495618,3279606451,3259620321,3251560438,3253645765,3263887973,3280083086,221886382.2,221886382.2
6,HOUS_NASH_out,1130055021,1042472987,1012862047,1006813455,1012883663,1024831636,1039109204,1053013240,1065192693,1074891850,1082322137,1088053710,1092620230,1097077900,1101966386,1107788782,1115176092,1125052218,1137695133,1152967615,1171550157,1194069202,1220295949,1250108867,65317190.19,65317190.19
7,ELPA_HOUS_in,1643539145,1498844964,1445589446,1429562358,1431263884,1442392715,1458462373,1475664117,1491141678,1503552671,1512685860,1519540961,1525733441,1531619368,1538331171,1546702015,1556995994,1569679739,1585338038,1605071694,1629733498,1659288838,1693950949,1733477003,83807746.74,83807746.74
8,EASH_ECHI_in,3135655811,3372903238,3458883456,3534489423,3636052372,3753969447,3867640525,3958626406,4015280077,4034185097,4018084632,3974082162,3910992010,3837663475,3762017088,3690365390,3628251881,3579142320,3543555395,3521451493,3512026095,3513369989,3523240031,3539112791,234208435.4,234208435.4
9,EASH_ECHI_out,2316153187,2387522768,2424528759,2467974388,2529905668,2602410761,2672671610,2729734458,2766520546,2780969626,2774395362,2750599860,2714912048,2672553366,2629404713,2589018111,2553743933,2525032939,2503750761,2489677025,2482381836,2480902419,2484014664,2490372480,132307446.7,132307446.7
10,EASH_WASH_in,2788273125,2876095221,2923490938,2977897663,3054998090,3144164911,3229676521,3298358284,3342699051,3360076329,3352189942,3323843948,3281340536,3231169901,3179878365,3131229416,3088791080,3054803931,3029965278,3014101737,3006650331,3006474350,3012054740,3021791709,160492340.4,160492340.4
11,EASH_WASH_out,2826951996,3058311227,3145753207,3220227658,3317692608,3429239366,3535024729,3618989896,3671559980,3689449056,3675053473,3634661087,3575970048,3507084209,3436874561,3370847708,3313784582,3268495034,3236257290,3216818590,3209181588,3211655142,3222181645,3238586607,221094281.8,221094281.8
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,2.62865E+12,2.62865E+12
